mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_model__max_depth,param_model__max_features,param_model__min_samples_leaf,param_model__min_samples_split,param_model__n_estimators,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,split3_train_score,split4_train_score,mean_train_score,std_train_score
15.770948028564453,0.7456794839740034,2.85984320640564,0.6395823467809272,20,sqrt,4,20,200,"{'model__max_depth': 20, 'model__max_features': 'sqrt', 'model__min_samples_leaf': 4, 'model__min_samples_split': 20, 'model__n_estimators': 200}",0.5194972165045455,0.5179333301271156,0.5227295446843635,0.5145259950735018,0.5015497116104471,0.5152471595999948,0.007340364323984331,15,0.7878208632584726,0.7874313710582678,0.7922738600939635,0.7900507344720129,0.7883424242790404,0.7891838506323514,0.0017853046581073062
15.188461351394654,0.4531724211589159,1.828523588180542,0.2657267589849001,20,sqrt,5,10,200,"{'model__max_depth': 20, 'model__max_features': 'sqrt', 'model__min_samples_leaf': 5, 'model__min_samples_split': 10, 'model__n_estimators': 200}",0.5178025447942535,0.5171989028586597,0.5238330042164496,0.5131742715633109,0.4996865336083194,0.5143390514081986,0.008079141868318462,20,0.8431501652703514,0.8400397358278067,0.8443463366896807,0.845787113136412,0.841060839091975,0.8428768380032452,0.0021000398250852676
17.00398716926575,2.2747648067039856,5.258117151260376,1.1404572023455763,20,sqrt,5,15,200,"{'model__max_depth': 20, 'model__max_features': 'sqrt', 'model__min_samples_leaf': 5, 'model__min_samples_split': 15, 'model__n_estimators': 200}",0.5158435498839726,0.5178177067483517,0.5224113258773779,0.5145286653754714,0.49951999917991063,0.5140242494130168,0.007728789486917157,22,0.8101937455330727,0.8097926649416239,0.8082664292601126,0.8130073861875768,0.810512468598605,0.8103545389041983,0.0015339034676957318
20.981451797485352,0.8396253617539193,5.864930963516235,0.34392029501692994,20,sqrt,5,20,200,"{'model__max_depth': 20, 'model__max_features': 'sqrt', 'model__min_samples_leaf': 5, 'model__min_samples_split': 20, 'model__n_estimators': 200}",0.5225164468971913,0.517034849220478,0.5267707555208124,0.5148480315668965,0.5019024948662515,0.5166145156143259,0.00845840058909284,7,0.7819917768034331,0.7761922562031175,0.7797990698926404,0.7810775956299058,0.781983520501738,0.780208843806167,0.002162588625280851
22.98152208328247,2.1057970561006036,3.4163228988647463,0.7580737462085915,25,sqrt,2,10,200,"{'model__max_depth': 25, 'model__max_features': 'sqrt', 'model__min_samples_leaf': 2, 'model__min_samples_split': 10, 'model__n_estimators': 200}",0.5143382376352313,0.5086434802796991,0.5130339970707317,0.5136790825386292,0.4957808974044542,0.5090951389857491,0.006949679840534515,36,0.9116631878324934,0.9097161377674897,0.9091192180732953,0.9094974659320507,0.9054543891523377,0.9090900797515336,0.002019796648704858
22.63445520401001,0.17077285121919386,1.7865607261657714,0.7282575304801973,25,sqrt,2,15,200,"{'model__max_depth': 25, 'model__max_features': 'sqrt', 'model__min_samples_leaf': 2, 'model__min_samples_split': 15, 'model__n_estimators': 200}",0.5141435856527852,0.5082011652087118,0.5233111659652151,0.5113075465749856,0.502187035249689,0.5118300997302774,0.006979942967437049,32,0.8603168401612299,0.8545691544114082,0.8578865409178755,0.8589221753452213,0.855747170155905,0.857488376198328,0.002086536740647359
17.50176329612732,2.901568291659755,3.2875407695770265,1.7439719036732513,25,sqrt,2,20,200,"{'model__max_depth': 25, 'model__max_features': 'sqrt', 'model__min_samples_leaf': 2, 'model__min_samples_split': 20, 'model__n_estimators': 200}",0.5142210716239954,0.5200282640976752,0.5246181204501882,0.5176198225437258,0.4998372590893214,0.5152649075609812,0.008424009879515788,14,0.82036599497707,0.8112182788297253,0.8169580736679681,0.8167867746192189,0.8181417089291969,0.8166941662046359,0.003021300133514162
22.374071550369262,7.415544868133159,4.536829137802124,2.6098775566888093,25,sqrt,3,10,200,"{'model__max_depth': 25, 'model__max_features': 'sqrt', 'model__min_samples_leaf': 3, 'model__min_samples_split': 10, 'model__n_estimators': 200}",0.5159832240695407,0.513768796588388,0.5212440145136259,0.512463979115573,0.4961417793204226,0.51192035872151,0.008439351228181638,31,0.8919160755877295,0.88961575407771,0.8911063189429553,0.891920665734665,0.8891442932552435,0.8907406215196607,0.0011594414095284758
25.413337469100952,3.5945592002085216,3.5839179039001463,1.6386642565890932,25,sqrt,3,15,200,"{'model__max_depth': 25, 'model__max_features': 'sqrt', 'model__min_samples_leaf': 3, 'model__min_samples_split': 15, 'model__n_estimators': 200}",0.5220955173795699,0.5062194595327142,0.5270805898397617,0.5156804402776242,0.5016325901468458,0.5145417194353031,0.009502478081339616,19,0.8451550832165102,0.8406062157293377,0.8441787465989914,0.8430357726124296,0.8440911235511751,0.8434133883416888,0.0015557256202618805
23.809603357315062,1.100329823792764,2.819267177581787,1.0397742971775759,25,sqrt,3,20,200,"{'model__max_depth': 25, 'model__max_features': 'sqrt', 'model__min_samples_leaf': 3, 'model__min_samples_split': 20, 'model__n_estimators': 200}",0.5202114271131169,0.5170067006848996,0.5220468604593212,0.5176230296341354,0.4991001653042593,0.5151976366391465,0.0082502580460858,16,0.8069947491583794,0.8044424072603058,0.8052764029954546,0.8061165689277517,0.8065288586724567,0.8058717974028695,0.0009110778162842997
24.31986708641052,0.9518934945950471,2.100648832321167,0.34396901991728374,25,sqrt,4,10,200,"{'model__max_depth': 25, 'model__max_features': 'sqrt', 'model__min_samples_leaf': 4, 'model__min_samples_split': 10, 'model__n_estimators': 200}",0.5163894797638,0.5114856079678942,0.5194478187457211,0.5108883772296933,0.4957906519717623,0.5108003871357741,0.008145986120692025,33,0.8751459700452443,0.8711140311490541,0.8737350454398033,0.8736724884758492,0.8707132337333495,0.8728761537686601,0.001691579676146227
14.428970527648925,4.383067674239189,3.637252187728882,0.9055656415725161,25,sqrt,4,15,200,"{'model__max_depth': 25, 'model__max_features': 'sqrt', 'model__min_samples_leaf': 4, 'model__min_samples_split': 15, 'model__n_estimators': 200}",0.5137207222246845,0.5174010278058283,0.5249101627795966,0.5142459635760052,0.4997958006735514,0.5140147354119331,0.008154695935637047,23,0.8321883604053034,0.8297380002403457,0.8309940327120181,0.8311884239952031,0.8290978205739917,0.8306413275853723,0.0010968536931067665
15.705485725402832,2.1978754577565884,3.1862191200256347,1.0004107354040461,25,sqrt,4,20,200,"{'model__max_depth': 25, 'model__max_features': 'sqrt', 'model__min_samples_leaf': 4, 'model__min_samples_split': 20, 'model__n_estimators': 200}",0.5162237495355038,0.5209504846074494,0.5277548042150858,0.5110376694968223,0.5020232590762074,0.5155979933862138,0.00873955088233004,13,0.796234975607558,0.7915108854059484,0.7951148672159901,0.7987814442753218,0.7972950841499262,0.7957874513309489,0.0024567708052863732
16.53017077445984,3.108744957275819,3.5591274738311767,0.6408709964225181,25,sqrt,5,10,200,"{'model__max_depth': 25, 'model__max_features': 'sqrt', 'model__min_samples_leaf': 5, 'model__min_samples_split': 10, 'model__n_estimators': 200}",0.5170573648296679,0.5105156601036801,0.5252368227325491,0.5115528902989358,0.49892437024084774,0.5126574216411363,0.008625597540033288,27,0.8543868237816662,0.8494914535815132,0.8544699751562601,0.8555993259272094,0.8511706174255033,0.8530236391744305,0.0023019273211372223
22.34467840194702,0.4646216179646463,1.20904483795166,0.19492199187454406,25,sqrt,5,15,200,"{'model__max_depth': 25, 'model__max_features': 'sqrt', 'model__min_samples_leaf': 5, 'model__min_samples_split': 15, 'model__n_estimators': 200}",0.5175715205780037,0.5082591021356547,0.5158645449372136,0.5162936126834968,0.5041208015851771,0.5124219163839092,0.0052838939488846996,28,0.8187922065195995,0.8185421415840933,0.8173081436884791,0.8188433070268841,0.8166708203624561,0.8180313238363025,0.0008801310311016671
